Wavelength (nm),Absorbance
596.0,0.116
597.0,0.115
598.0,0.114
599.0,0.113
600.0,0.112
601.0,0.111
602.0,0.110
603.0,0.110
604.0,0.108
605.0,0.108
606.0,0.107
607.0,0.106
608.0,0.105
609.0,0.104
610.0,0.103
611.0,0.102
612.0,0.101
613.0,0.101
614.0,0.100
615.0,0.099
616.0,0.098
617.0,0.097
618.0,0.096
619.0,0.096
620.0,0.095
621.0,0.094
622.0,0.093
623.0,0.092
624.0,0.092
625.0,0.091
626.0,0.090
627.0,0.090
628.0,0.089
629.0,0.088
630.0,0.087
631.0,0.087
632.0,0.086
633.0,0.085
634.0,0.084
635.0,0.084
636.0,0.083
637.0,0.082
638.0,0.082
639.0,0.081
640.0,0.080
641.0,0.080
642.0,0.079
643.0,0.078
644.0,0.078
645.0,0.077
646.0,0.077
647.0,0.076
648.0,0.075
649.0,0.075
650.0,0.074
651.0,0.074
652.0,0.073
653.0,0.072
654.0,0.072
655.0,0.071
656.0,0.071
657.0,0.070
658.0,0.070
659.0,0.069
660.0,0.068
661.0,0.068
662.0,0.067
663.0,0.067
664.0,0.066
665.0,0.066
666.0,0.065
667.0,0.065
668.0,0.064
669.0,0.064
670.0,0.063
671.0,0.063
672.0,0.062
673.0,0.062
674.0,0.062
675.0,0.061
676.0,0.061
677.0,0.060
678.0,0.060
679.0,0.059
680.0,0.058
681.0,0.058
682.0,0.058
683.0,0.057
684.0,0.057
685.0,0.056
686.0,0.056
687.0,0.056
688.0,0.055
689.0,0.055
690.0,0.054
691.0,0.054
692.0,0.054
693.0,0.053
694.0,0.053
695.0,0.053
696.0,0.052
697.0,0.052
698.0,0.051
699.0,0.051
700.0,0.051
701.0,0.050
702.0,0.050
703.0,0.050
704.0,0.049
705.0,0.049
706.0,0.048
707.0,0.048
708.0,0.048
709.0,0.047
710.0,0.047
711.0,0.047
712.0,0.046
713.0,0.046
714.0,0.046
715.0,0.046
716.0,0.045
717.0,0.045
718.0,0.045
719.0,0.044
720.0,0.044
721.0,0.044
722.0,0.043
723.0,0.043
724.0,0.043
725.0,0.042
726.0,0.042
727.0,0.042
728.0,0.042
729.0,0.041
730.0,0.041
731.0,0.041
732.0,0.041
733.0,0.040
734.0,0.040
735.0,0.040
736.0,0.040
737.0,0.039
738.0,0.039
739.0,0.039
740.0,0.038
741.0,0.038
742.0,0.038
743.0,0.038
744.0,0.038
745.0,0.037
746.0,0.037
747.0,0.037
748.0,0.036
749.0,0.036
750.0,0.036
751.0,0.036
752.0,0.036
753.0,0.035
754.0,0.035
755.0,0.035
756.0,0.035
757.0,0.035
758.0,0.034
759.0,0.034
760.0,0.034
761.0,0.034
762.0,0.033
763.0,0.033
764.0,0.033
765.0,0.033
766.0,0.033
767.0,0.033
768.0,0.032
769.0,0.032
770.0,0.032
771.0,0.032
772.0,0.032
773.0,0.032
774.0,0.031
775.0,0.031
776.0,0.031
777.0,0.031
778.0,0.031
779.0,0.030
780.0,0.030
781.0,0.030
782.0,0.030
783.0,0.030
784.0,0.030
785.0,0.029
786.0,0.029
787.0,0.029
788.0,0.029
789.0,0.029
790.0,0.029
791.0,0.029
792.0,0.029
793.0,0.028
794.0,0.028
795.0,0.028
796.0,0.028
797.0,0.028
798.0,0.028
799.0,0.027
800.0,0.027
