2theta	Intensity
-6.195757958676192	37.7259774128438
-6.194953599196453	31.499913913711765
-6.194149239550014	32.222714957761994
-6.193344879736895	34.0195234617742
-6.192540519757119	36.94524142120492
-6.1917361596107074	38.70507450046105
-6.190931799297684	40.77432815408411
-6.190127438818067	41.76314988842709
-6.1893230781718795	37.785407888482
-6.188518717359145	34.9099850705749
-6.187714356379884	34.85507353834348
-6.186909995234118	35.336697881804966
-6.186105633921869	34.960576672550374
-6.185301272443161	30.83117314815145
-6.18449691079801	31.249565061999707
-6.1836925489864445	34.00834220025914
-6.182888187008484	35.35696015956191
-6.182083824864149	31.92238746268937
-6.181279462553463	31.293201250595214
-6.180475100076446	33.769256365771405
-6.179670737433121	39.08587870351021
-6.1788663746235075	40.231463513245096
-6.178062011647634	45.08776008294814
-6.177257648505514	46.54519891577142
-6.176453285197173	41.43566150882894
-6.175648921722634	33.8800672843075
-6.174844558081917	26.975673710336856
-6.174040194275043	25.876342205641496
-6.173235830302039	36.45292079402181
-6.172431466162922	45.43706784767326
-6.171627101857711	41.40927678292615
-6.170822737386437	36.07841339185872
-6.170018372749114	39.10505629856253
-6.169214007945767	43.47270914223934
-6.168409642976418	38.45556233878807
-6.167605277841084	36.276472472904615
-6.1668009125397925	31.77382459687508
-6.165996547072566	26.63049381706748
-6.16519218143942	29.70956041062324
-6.164387815640384	36.27381396758076
-6.163583449675475	34.92116412929681
-6.162779083544714	31.318028516453374
-6.161974717248124	35.44358655881399
-6.161170350785731	38.51785333852402
-6.1603659841575515	33.81504332594758
-6.159561617363608	29.939013803673888
-6.1587572504039265	33.48606249123725
-6.157952883278522	41.27295620330737
-6.157148515987423	39.3331413479028
-6.156344148530645	32.83526112253732
-6.155539780908216	27.45585833577473
-6.154735413120153	25.777203235886745
-6.153931045166482	26.816141576197168
-6.153126677047221	25.45650730716971
-6.152322308762393	25.84635745950903
-6.15151794031202	28.647024121642453
-6.150713571696125	37.29995401155479
-6.149909202914728	43.52761942051572
-6.149104833967851	41.42878798190801
-6.1483004648555175	38.24840627529502
-6.147496095577746	32.8750843423976
-6.1466917261345655	30.0213980878472
-6.14588735652599	31.09709577109131
-6.145082986752041	38.24416512282959
-6.144278616812747	45.1014541791651
-6.143474246708125	45.97477200477241
-6.142669876438198	37.89877467908288
-6.141865506002991	30.513820709006087
-6.14106113540252	30.56341172329776
-6.140256764636808	36.77853292969901
-6.139452393705879	44.151221960023854
-6.138648022609756	42.262691069415744
-6.137843651348459	36.709645859211285
-6.13703927992201	35.966254901818154
-6.136234908330428	40.32914990585508
-6.135430536573736	38.24286488214098
-6.134626164651961	37.64282904368751
-6.1338217925651195	44.23282935972526
-6.1330174203132355	45.33744853558166
-6.13221304789633	37.63215427403602
-6.131408675314425	31.86885967799789
-6.130604302567541	29.03255454745112
-6.129799929655703	28.85971962092884
-6.1289955565789285	31.376499067567902
-6.128191183337241	37.72017443065316
-6.127386809930665	41.06810119989871
-6.12658243635922	39.88226394246013
-6.125778062622928	40.65380369010543
-6.12497368872181	43.27552220519114
-6.124169314655889	44.12256030810166
-6.123364940425187	46.27036904433098
-6.122560566029725	48.60241960597373
-6.121756191469525	45.81403041595324
-6.120951816744611	40.741329891020285
-6.120147441855001	38.130190210943255
-6.119343066800717	39.20234100478174
-6.118538691581784	39.78303001817072
-6.11773431619822	36.95423826796629
-6.11692994065005	36.780886899310026
-6.116125564937295	40.37794756321953
-6.115321189059978	41.72558396764258
-6.114516813018119	41.10519368016623
-6.113712436811739	42.16523586303965
-6.11290806044086	41.45228818619847
-6.112103683905508	42.59814923376498
-6.111299307205699	47.71646737960727
-6.110494930341459	51.61865802703348
-6.1096905533128085	52.84825725461589
-6.108886176119767	48.33750049068813
-6.108081798762357	47.44377375850763
-6.107277421240605	48.09669537385752
-6.106473043554527	46.38734000505731
-6.105668665704149	42.53825598728693
-6.104864287689492	40.76141609442767
-6.104059909510574	44.52345110972684
-6.103255531167421	49.029662711789925
-6.102451152660054	47.48696607348475
-6.1016467739884925	45.28838888208939
-6.100842395152763	56.37608367583463
-6.100038016152884	63.72968872650425
-6.099233636988874	59.97403597607878
-6.098429257660761	59.23724123623978
-6.097624878168565	62.49569948423394
-6.0968204985123045	68.05901001246279
-6.096016118692006	76.27595586443816
-6.095211738707688	82.74835793791354
-6.094407358559377	85.1343629881866
-6.093602978247089	93.47605403723344
-6.092798597770847	99.59595279491708
-6.091994217130675	96.70975435774383
-6.091189836326593	102.58810166330964
